CH1V,CH2V
0.034912,0.620605
0.059082,-0.015991
-0.875610,-0.704834
-1.000000,-0.987549
-1.000000,-1.000000
-0.837524,-1.000000
0.423584,-0.722412
0.150513,-0.126709
0.938599,0.537720
1.000000,0.988159
1.000000,1.000000
1.000000,1.000000
0.304077,0.857056
0.058594,0.314697
-0.746704,-0.364990
-0.996582,-0.936768
-1.000000,-1.000000
-1.000000,-1.000000
-0.139160,-0.949463
0.386841,-0.444336
0.200806,0.222900
0.946167,0.838257
1.000000,1.000000
1.000000,1.000000
0.945190,1.000000
0.033447,0.622192
0.060059,-0.015991
-0.875488,-0.703491
-1.000000,-0.987427
-1.000000,-1.000000
-0.838745,-1.000000
0.423584,-0.723267
0.152466,-0.126343
0.938965,0.540649
1.000000,0.988525
1.000000,1.000000
1.000000,1.000000
0.302002,0.858887
0.061768,0.317993
-0.735718,-0.363281
-0.994873,-0.936401
-1.000000,-1.000000
-1.000000,-1.000000
-0.142822,-0.948364
0.387451,-0.443970
0.203613,0.221924
0.946533,0.836548
1.000000,1.000000
1.000000,1.000000
0.944702,1.000000
0.035889,0.618774
0.059692,-0.018311
-0.875610,-0.706299
-1.000000,-0.987915
-1.000000,-1.000000
-0.838745,-1.000000
0.424072,-0.720947
0.154907,-0.125000
0.939209,0.542114
1.000000,0.988770
1.000000,1.000000
1.000000,1.000000
0.302979,0.859253
0.064209,0.317627
-0.737915,-0.363281
-0.995361,-0.936401
-1.000000,-1.000000
-1.000000,-1.000000
-0.141235,-0.947998
0.390381,-0.442139
0.205933,0.220947
0.946899,0.835938
1.000000,1.000000
1.000000,1.000000
0.941772,1.000000
0.036011,0.618530
0.062622,-0.017334
1.000000,-0.706787
0.310791,-0.988037
0.053955,-1.000000
-0.740479,-1.000000
-0.995728,-0.723755
-1.000000,-0.128662
-1.000000,0.541260
-0.145752,0.988647
0.387817,1.000000
0.191895,1.000000
0.944824,0.858032
1.000000,0.317017
1.000000,-0.362915
0.952393,-0.936401
0.037476,-1.000000
0.059448,-1.000000
-0.875610,-0.949097
-1.000000,-0.443237
-1.000000,0.224121
-0.843018,0.840210
0.419800,1.000000
0.149170,1.000000
0.938354,1.000000
1.000000,0.620239
1.000000,-0.016357
1.000000,-0.707275
0.308228,-0.988037
0.055908,-1.000000
-0.736938,-1.000000
-0.995239,-0.719971
-1.000000,-0.122925
-1.000000,0.541382
-0.146729,0.988647
0.390381,1.000000
0.196899,1.000000
0.945557,0.859253
1.000000,0.318115
1.000000,-0.364014
0.949585,-0.936523
0.036377,-1.000000
0.060547,-1.000000
-0.875488,-0.948242
-1.000000,-0.442139
-1.000000,0.222656
-0.843384,0.838135
0.420532,1.000000
0.147705,1.000000
0.938232,1.000000
1.000000,0.619995
1.000000,-0.017578
1.000000,-0.707642
0.308594,-0.988159
0.056763,-1.000000
-0.735596,-1.000000
-0.994873,-0.723999
-1.000000,-0.126953
-1.000000,0.542847
-0.147827,0.988770
0.390381,1.000000
0.195068,1.000000
0.945312,0.856567
1.000000,0.315430
1.000000,-0.363647
0.949951,-0.936523
0.036133,-1.000000
0.056152,-1.000000
-0.875977,-0.950317
-1.000000,-0.442261
-1.000000,0.224365
-0.841431,0.836060
0.419800,1.000000
0.146484,1.000000
0.937988,1.000000
1.000000,0.620483
1.000000,-0.017944
1.000000,-0.706665
0.308228,-0.988037
0.054932,-1.000000
-0.739868,-1.000000
-0.995605,-0.720459
-1.000000,-0.123779
-1.000000,0.542236
-0.146973,0.988770
0.386597,1.000000
0.194702,1.000000
0.945312,0.857178
1.000000,0.315308
1.000000,-0.367188
0.949097,-0.937134
0.035522,-1.000000
0.056885,-1.000000
-0.875977,-0.948364
-1.000000,-0.444092
-1.000000,0.220703
-0.842529,0.838379
0.419556,1.000000
0.148926,1.000000
0.938354,1.000000
1.000000,0.618530
1.000000,-0.015991
1.000000,-0.704712
0.308228,-0.987549
0.058350,-1.000000
-0.734741,-1.000000
-0.994751,-0.721558
-1.000000,-0.122559
-1.000000,0.543579
-0.146362,0.988892
0.390381,1.000000
0.197388,1.000000
0.945679,0.857666
1.000000,0.315552
1.000000,-0.365479
0.948730,-0.936768
0.036377,-1.000000
0.058228,-1.000000
-0.875854,-0.947266
-1.000000,-0.442017
-1.000000,0.222534
-0.841431,0.835693
0.420410,1.000000
0.147949,1.000000
0.938232,1.000000
1.000000,0.618164
1.000000,-0.017944
1.000000,-0.708130
0.306396,-0.988281
0.056274,-1.000000
-0.738281,-1.000000
-0.995361,-0.720459
-1.000000,-0.124268
-1.000000,0.542725
